Date,Not indexed,Indexed,Impressions
2026-01-14,,,47
2026-01-15,,,52
2026-01-16,,,26
2026-01-17,30,25,24
2026-01-18,30,25,33
2026-01-19,30,25,36
2026-01-20,30,25,41
2026-01-21,30,25,50
2026-01-22,30,25,49
2026-01-23,30,25,48
2026-01-24,30,25,31
2026-01-25,31,25,47
2026-01-26,31,25,62
2026-01-27,31,25,81
2026-01-28,35,24,115
2026-01-29,35,24,72
2026-01-30,35,24,59
2026-01-31,35,24,41
2026-02-01,38,24,80
2026-02-02,38,24,139
2026-02-03,38,24,106
2026-02-04,38,24,182
2026-02-05,38,24,148
2026-02-06,38,24,81
2026-02-07,38,24,83
2026-02-08,39,23,87
2026-02-09,39,23,137
2026-02-10,39,23,121
2026-02-11,40,23,89
2026-02-12,40,23,135
2026-02-13,40,23,142
2026-02-14,40,23,134
2026-02-15,44,19,152
2026-02-16,44,19,182
2026-02-17,44,19,196
2026-02-18,46,17,245
2026-02-19,46,17,245
2026-02-20,46,17,269
2026-02-21,46,17,214
2026-02-22,48,15,212
2026-02-23,48,15,219
2026-02-24,48,15,226
2026-02-25,50,13,231
2026-02-26,50,13,236
2026-02-27,50,13,283
2026-02-28,50,13,212
2026-03-01,50,13,247
2026-03-02,50,13,320
2026-03-03,50,13,299
2026-03-04,49,14,281
2026-03-05,49,14,234
2026-03-06,49,14,378
2026-03-07,49,14,466
2026-03-08,50,13,448
2026-03-09,50,13,433
2026-03-10,50,13,350
2026-03-11,50,14,345
2026-03-12,50,14,408
2026-03-13,50,14,464
2026-03-14,50,14,773
2026-03-15,50,14,823
2026-03-16,51,13,996
2026-03-17,51,13,1053
2026-03-18,52,12,833
2026-03-19,52,12,824
2026-03-20,52,12,434
2026-03-21,52,12,361
2026-03-22,51,13,482
2026-03-23,51,13,500
2026-03-24,51,13,607
2026-03-25,49,15,594
2026-03-26,49,15,588
2026-03-27,49,15,470
2026-03-28,49,15,538
2026-03-29,49,16,644
2026-03-30,49,16,634
2026-03-31,49,16,636
2026-04-01,49,16,554
2026-04-02,49,16,645
2026-04-03,49,16,658
2026-04-04,49,16,750
2026-04-05,48,17,911
2026-04-06,48,17,863
2026-04-07,49,17,841
2026-04-08,49,17,1202
2026-04-09,49,17,739
2026-04-10,49,17,762